no,time,pressue,speed
0,0,5,1.00
0,1,2,1.00
0,2,10,4.00
0,3,8,9.00
0,4,4,10.00
0,5,1,10.00
0,6,4,8.00
0,7,9,9.00
0,8,-1,9.00
0,9,-2,9.00
0,10,-3,9.00
0,11,9,6.00
0,12,0,6.00
0,13,10,12.00
0,14,4,12.00
0,15,0,12.00
0,16,3,11.00
0,17,2,11.00
0,18,-1,11.00
0,19,-4,9.00
1,0,-1,0.00
1,1,1,0.00
1,2,2,0.00
1,3,-2,-1.00
1,4,-4,1.00
1,5,1,1.00
1,6,9,3.00
1,7,9,3.00
1,8,2,3.00
1,9,2,3.00
1,10,4,1.00
1,11,0,1.00
1,12,-2,1.00
1,13,10,0.00
1,14,4,-2.00
1,15,9,0.00
1,16,6,0.00
1,17,9,3.00
1,18,2,2.00
1,19,9,2.00
2,0,7,0.00
2,1,7,-4.00
2,2,0,-4.00
2,3,1,-4.00
2,4,5,-2.00
2,5,5,-1.00
2,6,-2,-1.00
2,7,6,-3.00
2,8,3,-5.00
2,9,-1,-5.00
2,10,8,-5.00
2,11,8,-6.00
2,12,10,-6.00
2,13,-3,-6.00
2,14,6,-7.00
2,15,-3,-6.00
2,16,4,-5.00
2,17,3,-5.00
2,18,5,-7.00
2,19,-2,-7.00
3,0,7,1.00
3,1,5,3.00
3,2,0,3.00
3,3,9,-2.00
3,4,-3,-1.00
3,5,9,-4.00
3,6,9,-3.00
3,7,1,-3.00
3,8,10,-4.00
3,9,-3,-3.00
3,10,-4,-3.00
3,11,4,-3.00
3,12,8,-7.00
3,13,-3,-5.00
3,14,-1,-5.00
3,15,7,-9.00
3,16,-4,-11.00
3,17,-1,-11.00
3,18,6,-8.00
3,19,-4,-6.00
4,0,0,0.00
4,1,-2,1.00
4,2,4,-1.00
4,3,-3,-1.00
4,4,8,3.00
4,5,6,4.00
4,6,-1,4.00
4,7,-5,1.00
4,8,8,0.00
4,9,7,3.00
4,10,9,2.00
4,11,-1,2.00
4,12,-1,2.00
4,13,0,2.00
4,14,3,0.00
4,15,-2,0.00
4,16,-4,-2.00
4,17,5,0.00
4,18,-3,0.00
4,19,-5,0.00
5,0,1,0.00
5,1,9,-3.00
5,2,4,-1.00
5,3,10,0.00
5,4,10,1.00
5,5,2,1.00
5,6,10,6.00
5,7,-3,4.00
5,8,-1,4.00
5,9,10,7.00
5,10,0,7.00
5,11,3,7.00
5,12,4,8.00
5,13,4,7.00
5,14,6,4.00
5,15,2,4.00
5,16,-3,3.00
5,17,-4,4.00
5,18,3,3.00
5,19,7,2.00
6,0,-1,0.00
6,1,-4,0.00
6,2,0,0.00
6,3,2,1.00
6,4,9,-4.00
6,5,9,1.00
6,6,7,4.00
6,7,5,4.00
6,8,3,6.00
6,9,9,5.00
6,10,1,5.00
6,11,-3,4.00
6,12,7,1.00
6,13,1,1.00
6,14,-1,1.00
6,15,-2,1.00
6,16,-1,1.00
6,17,-2,1.00
6,18,2,1.00
6,19,-1,1.00
7,0,6,4.00
7,1,8,7.00
7,2,5,8.00
7,3,4,8.00
7,4,3,7.00
7,5,4,6.00
7,6,1,6.00
7,7,4,7.00
7,8,4,7.00
7,9,4,7.00
7,10,5,9.00
7,11,8,8.00
7,12,8,5.00
7,13,9,0.00
7,14,10,6.00
7,15,7,8.00
7,16,4,9.00
7,17,5,9.00
7,18,0,9.00
7,19,1,9.00
8,0,5,-2.00
8,1,1,-2.00
8,2,-1,-2.00
8,3,1,-2.00
8,4,4,-2.00
8,5,10,-5.00
8,6,-5,-4.00
8,7,-1,-4.00
8,8,8,-3.00
8,9,-2,-3.00
8,10,5,0.00
8,11,3,0.00
8,12,10,5.00
8,13,4,3.00
8,14,8,2.00
8,15,9,0.00
8,16,-5,0.00
8,17,8,2.00
8,18,-3,3.00
8,19,9,3.00
9,0,9,-4.00
9,1,4,-2.00
9,2,-1,-2.00
9,3,2,-2.00
9,4,-1,-2.00
9,5,9,-5.00
9,6,-5,-2.00
9,7,6,-4.00
9,8,6,-5.00
9,9,10,-4.00
9,10,-2,-5.00
9,11,0,-5.00
9,12,7,-2.00
9,13,-3,-1.00
9,14,6,-1.00
9,15,-3,-1.00
9,16,-4,0.00
9,17,10,-1.00
9,18,-5,-1.00
9,19,4,-1.00
10,0,-2,0.00
10,1,4,1.00
10,2,4,1.00
10,3,6,3.00
10,4,10,-3.00
10,5,2,-3.00
10,6,4,-1.00
10,7,-3,0.00
10,8,0,0.00
10,9,8,4.00
10,10,3,3.00
10,11,4,3.00
10,12,1,3.00
10,13,5,3.00
10,14,-3,2.00
10,15,0,2.00
10,16,2,1.00
10,17,9,5.00
10,18,5,5.00
10,19,-5,6.00
11,0,8,-5.00
11,1,7,-9.00
11,2,-4,-9.00
11,3,-1,-9.00
11,4,2,-10.00
11,5,7,-10.00
11,6,6,-9.00
11,7,7,-10.00
11,8,-2,-10.00
11,9,2,-10.00
11,10,-4,-9.00
11,11,3,-10.00
11,12,1,-10.00
11,13,0,-10.00
11,14,-1,-10.00
11,15,10,-15.00
11,16,0,-15.00
11,17,4,-13.00
11,18,10,-13.00
11,19,-5,-15.00
12,0,3,-1.00
12,1,-5,0.00
12,2,7,-4.00
12,3,-4,-4.00
12,4,10,-4.00
12,5,10,1.00
12,6,1,1.00
12,7,9,-4.00
12,8,8,-4.00
12,9,3,-5.00
12,10,-5,-5.00
12,11,-2,-6.00
12,12,-2,-6.00
12,13,-5,-5.00
12,14,4,-6.00
12,15,-1,-6.00
12,16,-4,-7.00
12,17,-4,-9.00
12,18,8,-11.00
12,19,10,-12.00
13,0,9,-1.00
13,1,4,-1.00
13,2,2,-1.00
13,3,-5,-3.00
13,4,1,-3.00
13,5,-4,-5.00
13,6,8,-5.00
13,7,7,-1.00
13,8,6,-1.00
13,9,-1,-1.00
13,10,6,-4.00
13,11,8,-4.00
13,12,4,-4.00
13,13,9,-3.00
13,14,7,1.00
13,15,9,-3.00
13,16,6,-5.00
13,17,-5,-5.00
13,18,1,-5.00
13,19,9,-1.00
14,0,6,-1.00
14,1,8,1.00
14,2,4,2.00
14,3,-3,1.00
14,4,9,-1.00
14,5,5,-3.00
14,6,5,-2.00
14,7,5,-1.00
14,8,4,-3.00
14,9,-4,-1.00
14,10,5,-1.00
14,11,-2,-1.00
14,12,-1,-1.00
14,13,1,-1.00
14,14,-5,-1.00
14,15,6,1.00
14,16,-2,1.00
14,17,10,3.00
14,18,6,2.00
14,19,6,4.00
15,0,10,-6.00
15,1,3,-7.00
15,2,8,-12.00
15,3,-1,-12.00
15,4,-5,-15.00
15,5,-2,-16.00
15,6,5,-14.00
15,7,-2,-13.00
15,8,3,-13.00
15,9,8,-9.00
15,10,4,-10.00
15,11,1,-10.00
15,12,1,-10.00
15,13,3,-10.00
15,14,6,-10.00
15,15,2,-10.00
15,16,-5,-8.00
15,17,-2,-8.00
15,18,-1,-8.00
15,19,-5,-9.00
16,0,-3,0.00
16,1,1,0.00
16,2,-4,-1.00
16,3,1,-1.00
16,4,3,-1.00
16,5,3,-1.00
16,6,-2,-1.00
16,7,-3,-1.00
16,8,8,2.00
16,9,8,-1.00
16,10,-1,-1.00
16,11,3,0.00
16,12,8,-4.00
16,13,10,-5.00
16,14,2,-6.00
16,15,-5,-6.00
16,16,-4,-7.00
16,17,-1,-7.00
16,18,1,-7.00
16,19,5,-10.00
17,0,3,1.00
17,1,8,-2.00
17,2,4,-4.00
17,3,-4,-3.00
17,4,5,-5.00
17,5,6,-5.00
17,6,-1,-5.00
17,7,1,-5.00
17,8,10,-5.00
17,9,2,-5.00
17,10,6,-8.00
17,11,-1,-8.00
17,12,-4,-6.00
17,13,2,-6.00
17,14,0,-6.00
17,15,2,-6.00
17,16,-2,-6.00
17,17,-3,-6.00
17,18,8,-4.00
17,19,2,-4.00
18,0,8,3.00
18,1,10,5.00
18,2,-4,5.00
18,3,10,0.00
18,4,0,0.00
18,5,7,-2.00
18,6,-5,-3.00
18,7,9,-9.00
18,8,10,-7.00
18,9,7,-6.00
18,10,3,-6.00
18,11,-4,-6.00
18,12,-4,-6.00
18,13,-5,-6.00
18,14,0,-6.00
18,15,-5,-9.00
18,16,10,-3.00
18,17,10,3.00
18,18,-1,3.00
18,19,-3,2.00
19,0,-5,-3.00
19,1,7,-5.00
19,2,9,-5.00
19,3,3,-5.00
19,4,-4,-6.00
19,5,4,-6.00
19,6,4,-5.00
19,7,-4,-5.00
19,8,4,-6.00
19,9,4,-8.00
19,10,-1,-8.00
19,11,-2,-8.00
19,12,1,-8.00
19,13,4,-8.00
19,14,6,-5.00
19,15,9,-8.00
19,16,-5,-8.00
19,17,-2,-8.00
19,18,0,-8.00
19,19,8,-8.00
20,0,-3,0.00
20,1,3,1.00
20,2,5,1.00
20,3,2,1.00
20,4,7,3.00
20,5,-2,3.00
20,6,3,3.00
20,7,9,-1.00
20,8,3,-2.00
20,9,6,-5.00
20,10,-4,-4.00
20,11,6,-5.00
20,12,-5,-7.00
20,13,1,-7.00
20,14,2,-6.00
20,15,-4,-5.00
20,16,-1,-5.00
20,17,5,-5.00
20,18,-2,-5.00
20,19,2,-6.00
21,0,2,1.00
21,1,0,1.00
21,2,-4,0.00
21,3,6,-2.00
21,4,4,-3.00
21,5,-5,-3.00
21,6,-3,-4.00
21,7,5,-2.00
21,8,0,-2.00
21,9,-3,-2.00
21,10,8,-6.00
21,11,7,-5.00
21,12,10,-11.00
21,13,1,-11.00
21,14,-3,-11.00
21,15,1,-11.00
21,16,-4,-12.00
21,17,6,-9.00
21,18,9,-4.00
21,19,3,-5.00
22,0,0,0.00
22,1,3,0.00
22,2,7,3.00
22,3,3,3.00
22,4,-3,3.00
22,5,6,5.00
22,6,3,4.00
22,7,5,3.00
22,8,-2,3.00
22,9,6,3.00
22,10,9,1.00
22,11,10,6.00
22,12,-4,5.00
22,13,-1,5.00
22,14,8,5.00
22,15,-4,5.00
22,16,-5,3.00
22,17,2,3.00
22,18,-4,5.00
22,19,8,8.00
23,0,0,0.00
23,1,1,0.00
23,2,-2,0.00
23,3,3,0.00
23,4,-3,-1.00
23,5,2,-1.00
23,6,2,0.00
23,7,10,-6.00
23,8,-1,-6.00
23,9,7,-2.00
23,10,9,-2.00
23,11,2,-3.00
23,12,9,-1.00
23,13,0,-1.00
23,14,-4,-2.00
23,15,6,-1.00
23,16,5,2.00
23,17,-2,2.00
23,18,9,2.00
23,19,-1,2.00
24,0,5,0.00
24,1,-5,2.00
24,2,9,7.00
24,3,-3,6.00
24,4,8,9.00
24,5,2,9.00
24,6,-3,8.00
24,7,6,11.00
24,8,10,5.00
24,9,-4,3.00
24,10,4,4.00
24,11,-1,4.00
24,12,5,4.00
24,13,4,5.00
24,14,0,5.00
24,15,0,5.00
24,16,3,4.00
